"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"CYP2A6",-0.071720190346241,0.35449892282486,-0.0451437085866928,-0.0109709585085511,0.12936806678772,-0.0979923233389854,-0.106213420629501,0.122815929353237,-0.0685863345861435,0.287450671195984,-0.01746398024261,0.207971170544624,-0.0837525054812431,0.0553557015955448,0.040526021271944
"TCN1",-0.09920933842659,0.235809087753296,0.489118993282318,6.15041983564879e-07,0.000503833405673504,-0.0121885146945715,-0.0299207028001547,0.132497578859329,-0.0234649851918221,0.247137531638145,0.0387875363230705,-0.195407763123512,0.00110146426595747,-0.0626098960638046,-0.17292132973671
"CLCA2",-0.0947379842400551,0.137152194976807,0.312115669250488,0.0485128238797188,0.00557775143533945,0.241946935653687,0.473840743303299,-0.255868524312973,0.0651014894247055,0.330665171146393,0.169225320219994,-0.247970536351204,0.0324106365442276,0.176666513085365,0.0709018856287003
"LRP2",-0.00280747818760574,0.387111961841583,0.341637283563614,-0.0120578361675143,-0.0701174139976501,-0.164564818143845,-0.253327369689941,0.114022374153137,-0.00762494094669819,-0.0676088035106659,-0.246826246380806,0.126634180545807,0.0149532668292522,0.0366692617535591,-0.0256126839667559
"KRT17",-0.223132789134979,-0.095928929746151,0.781226933002472,5.98116312175989e-05,0.00147069594822824,0.0206125676631927,-0.11204681545496,0.0185883976519108,-0.020887179300189,-0.106666669249535,0.426559239625931,-0.212926179170609,-0.00198966520838439,-0.106095470488071,0.0226363874971867
"AGR2",0.359470576047897,0.540225625038147,0.327682912349701,-0.00685876095667481,7.19294184818864e-05,0.0033233764115721,0.187011450529099,0.1447963565588,0.0610631816089153,0.0847205147147179,-0.0244496986269951,0.0768442153930664,-0.0762803703546524,0.0318747386336327,-0.0763238519430161
"ABCC11",0.18974943459034,0.414870530366898,0.128055855631828,0.000353429815731943,-0.0389792360365391,-0.00554438633844256,0.448024868965149,-0.105672374367714,-0.0016533067682758,0.29364213347435,-0.103996388614178,0.00185816700104624,0.0768886208534241,0.128791570663452,-0.0309817995876074
"DSG3",-0.220564171671867,-0.116062693297863,0.718055427074432,2.06211771001108e-05,0.00211578165180981,-0.0220950413495302,-0.206317529082298,0.0907948836684227,-0.00503868516534567,-0.12040001899004,0.277351230382919,-0.419566839933395,0.00856054481118917,-0.0105369882658124,-0.0474036708474159
"PROM1",-0.283571273088455,-0.260292679071426,0.555012106895447,0.0102401338517666,0.00195378414355218,-0.157817244529724,0.151992931962013,-0.22409987449646,-0.00476860022172332,-0.164354905486107,-0.11248753964901,-0.140717670321465,-0.0654205828905106,0.0404652245342731,0.0810713618993759
"C20orf114",0.234206140041351,0.376187205314636,0.29274195432663,0.000520361703820527,2.46605377469677e-05,-0.0837500616908073,0.00367309455759823,0.160113900899887,0.0832036659121513,0.0307903122156858,0.0487892925739288,0.0495668649673462,0.00278130010701716,-0.144421368837357,-0.198085501790047
"CRISP3",0.129587322473526,0.00352640403434634,0.172133103013039,-0.0660651698708534,-0.0945566520094872,0.136949568986893,0.380507260560989,-0.107601583003998,0.107474118471146,0.105693489313126,-0.00784758571535349,0.135347336530685,-0.0728096142411232,0.264892905950546,0.00438284268602729
"ELF5",-0.28257891535759,-0.322928100824356,0.533899426460266,-0.0684981793165207,0.0263366233557463,-0.0610968023538589,0.012727988883853,-0.0739157944917679,0.0291470587253571,0.00159011746291071,-0.113787844777107,0.00768098467960954,-0.138844132423401,0.0655202493071556,-0.122096180915833
"NPY1R",-7.518630445702e-05,0.341444551944733,0.114556841552258,-0.0322984643280506,0.138464763760567,-0.180258959531784,-0.380122154951096,0.108782730996609,0.0461145602166653,-0.10396072268486,-0.00449135480448604,-0.0717810466885567,0.065051943063736,-0.11498037725687,0.0229479018598795
"KCNC2",0.00992920994758606,0.3431656062603,0.22858552634716,-0.0181878414005041,0.0136934639886022,-0.0993349179625511,-0.242989301681519,0.275717347860336,0.0321776755154133,0.272058427333832,-0.1211127191782,0.190663129091263,-0.076601430773735,0.0718687474727631,-0.02665282972157
"KRT6A",-0.191883146762848,-0.279451102018356,0.352483928203583,-0.0045544127933681,-0.0610866285860538,0.059424240142107,-0.00271547492593527,0.123692192137241,0.0638645589351654,-0.00455852365121245,0.584617614746094,-0.365323424339294,0.0287102181464434,0.190382495522499,-0.0563831552863121
"CP",-0.223563745617867,-0.216977283358574,0.228698372840881,0.0140022980049253,0.00422383798286319,0.007233502343297,0.306885331869125,-0.105405792593956,-0.106833972036839,0.0616320967674255,0.0113011011853814,-0.147353678941727,-0.0202782545238733,0.187977105379105,0.104005098342896
"KIF1A",-0.0902796164155006,-0.396768242120743,0.0261099971830845,0.0821896120905876,-0.024281233549118,-0.152446866035461,0.0287171043455601,0.12278389185667,0.425447285175323,0.0511229448020458,-0.057568896561861,-0.000916439574211836,0.0214369557797909,-0.156607091426849,0.0219147354364395
"PVALB",0.268502473831177,0.195205345749855,0.10579539835453,0.0288857221603394,-0.0108329793438315,0.11476119607687,-0.099433533847332,0.111751854419708,0.25871342420578,-0.134700417518616,0.0320303589105606,0.058216467499733,-0.0770635083317757,-0.216328755021095,-0.145125970244408
"MUC16",-0.251729339361191,-0.245697677135468,0.309336751699448,-0.0163127798587084,0.00512908818200231,-0.131000995635986,0.0245709549635649,0.116303257644176,-0.0730710923671722,-0.00749250641092658,0.0812370702624321,-0.213647931814194,0.0505680851638317,0.0881314277648926,-0.151114195585251
"OBP2B",-0.124206282198429,-0.0879940241575241,0.371004343032837,0.109642066061497,0.0203478429466486,-0.278473883867264,0.211861699819565,-0.184043273329735,-0.156422838568687,-0.0126800592988729,-0.0272376388311386,0.185958564281464,0.0279126856476068,-0.118163645267487,0.161380410194397
"CGA",0.228555083274841,0.125955015420914,-0.053221482783556,0.00567653449252248,-0.0916695222258568,0.0865612477064133,-0.259817391633987,0.209584057331085,0.172148585319519,-0.217881008982658,0.00437546893954277,0.082036055624485,-0.130002230405807,0.164913356304169,0.0879842862486839
"GFRA1",0.208631172776222,0.502963602542877,0.100542075932026,-0.000807799224276096,0.101254060864449,0.0195609554648399,-0.0515100508928299,-0.0446218363940716,0.156838417053223,-0.136564001441002,-0.196789875626564,-0.0461394414305687,-0.0100206956267357,-0.167273953557014,-0.0383695513010025
